Indicator type,Indicator,Description
IPv4,43.131.253.36,
IPv4,183.131.86.34,
IPv4,167.71.253.124,
IPv4,125.124.72.62,
IPv4,185.129.51.76,
IPv4,68.183.10.86,
IPv4,118.25.174.89,
IPv4,92.118.39.76,
IPv4,92.118.39.76,
IPv4,186.13.43.41,
IPv4,218.92.0.230,
IPv4,206.217.133.9,
IPv4,14.103.139.89,
IPv4,92.118.39.72,
IPv4,196.251.84.225,
IPv4,177.182.181.8,
IPv4,23.251.33.5,
IPv4,94.179.109.66,
IPv4,92.118.39.72,
IPv4,193.151.152.198,
IPv4,202.72.235.208,
IPv4,218.92.0.229,
IPv4,103.31.38.177,
IPv4,202.102.198.61,
IPv4,205.185.113.189,
IPv4,218.92.0.220,
IPv4,218.92.0.227,
IPv4,218.92.0.225,
IPv4,92.118.39.86,
IPv4,92.118.39.86,
IPv4,193.32.162.73,
IPv4,193.32.162.73,
IPv4,193.32.162.73,
